timestamp,ts,open,high,low,close,volume
2022-05-15 00:00:00+00:00,2022-05-15 00:00:00+00:00,30045.08,30218.47,29500.0,29679.62,112.991242
2022-05-15 04:00:00+00:00,2022-05-15 04:00:00+00:00,29679.92,30002.61,29438.41,29779.75,85.24807
2022-05-15 08:00:00+00:00,2022-05-15 08:00:00+00:00,29782.23,30263.33,29508.91,30217.62,85.348329
2022-05-15 12:00:00+00:00,2022-05-15 12:00:00+00:00,30206.49,30522.24,29741.41,29982.13,190.554953
2022-05-15 16:00:00+00:00,2022-05-15 16:00:00+00:00,29982.13,30459.47,29904.08,30425.89,148.507013
2022-05-15 20:00:00+00:00,2022-05-15 20:00:00+00:00,30422.84,31415.48,30319.25,31293.32,303.550158
2022-05-16 00:00:00+00:00,2022-05-16 00:00:00+00:00,31289.49,31303.29,30165.11,30280.15,324.033797
2022-05-16 04:00:00+00:00,2022-05-16 04:00:00+00:00,30285.57,30437.96,29277.1,29564.43,334.32952
2022-05-16 08:00:00+00:00,2022-05-16 08:00:00+00:00,29566.2,30172.14,29401.0,29916.01,229.943905
2022-05-16 12:00:00+00:00,2022-05-16 12:00:00+00:00,29916.75,30209.1,29280.9,29631.2,410.366843
2022-05-16 16:00:00+00:00,2022-05-16 16:00:00+00:00,29636.15,29962.36,29050.01,29564.19,287.121396
2022-05-16 20:00:00+00:00,2022-05-16 20:00:00+00:00,29543.9,30216.62,29489.64,29839.05,172.840791
2022-05-17 00:00:00+00:00,2022-05-17 00:00:00+00:00,29837.15,30470.0,29753.72,30313.27,188.29666699999999
2022-05-17 04:00:00+00:00,2022-05-17 04:00:00+00:00,30323.86,30541.8,30205.49,30381.14,97.44145999999999
2022-05-17 08:00:00+00:00,2022-05-17 08:00:00+00:00,30379.94,30733.0,30241.17,30297.26,107.842765
2022-05-17 12:00:00+00:00,2022-05-17 12:00:00+00:00,30285.12,30718.84,29912.58,30122.67,328.261729
2022-05-17 16:00:00+00:00,2022-05-17 16:00:00+00:00,30122.09,30279.77,29421.8,30062.77,339.271166
2022-05-17 20:00:00+00:00,2022-05-17 20:00:00+00:00,30065.43,30638.53,30015.55,30410.15,121.214604
2022-05-18 00:00:00+00:00,2022-05-18 00:00:00+00:00,30413.2,30676.9,29702.39,29802.7,289.218723
2022-05-18 04:00:00+00:00,2022-05-18 04:00:00+00:00,29790.85,30060.8,29650.01,29874.93,154.779053
2022-05-18 08:00:00+00:00,2022-05-18 08:00:00+00:00,29882.07,30011.33,29710.05,29803.35,166.421784
2022-05-18 12:00:00+00:00,2022-05-18 12:00:00+00:00,29812.57,29875.92,28832.0,28946.44,451.443199
2022-05-18 16:00:00+00:00,2022-05-18 16:00:00+00:00,28942.42,29492.85,28704.72,29236.66,393.04195599999997
2022-05-18 20:00:00+00:00,2022-05-18 20:00:00+00:00,29233.49,29371.49,28612.14,28690.3,252.479638
2022-05-19 00:00:00+00:00,2022-05-19 00:00:00+00:00,28666.61,29288.86,28650.43,29157.79,235.206177
2022-05-19 04:00:00+00:00,2022-05-19 04:00:00+00:00,29162.66,29391.96,29000.0,29161.55,135.70971699999998
2022-05-19 08:00:00+00:00,2022-05-19 08:00:00+00:00,29162.26,29500.0,28824.43,29466.22,158.832459
2022-05-19 12:00:00+00:00,2022-05-19 12:00:00+00:00,29465.11,30534.6,29314.81,30354.64,444.999557
2022-05-19 16:00:00+00:00,2022-05-19 16:00:00+00:00,30354.72,30441.2,29927.34,29934.89,315.128768
2022-05-19 20:00:00+00:00,2022-05-19 20:00:00+00:00,29931.07,30444.62,29914.26,30284.34,161.141847
2022-05-20 00:00:00+00:00,2022-05-20 00:00:00+00:00,30283.67,30726.41,30092.49,30139.76,187.079251
2022-05-20 04:00:00+00:00,2022-05-20 04:00:00+00:00,30136.64,30329.42,29805.04,30228.84,189.268427
2022-05-20 08:00:00+00:00,2022-05-20 08:00:00+00:00,30223.03,30512.0,30092.24,30387.91,133.282329
