ts,executed,open,close
2025-05-11 16:00:00+00:00,BUY,104192.0,104403.1
2025-05-28 16:00:00+00:00,SELL,107140.8,107000.0
2025-06-25 16:00:00+00:00,BUY,107087.0,107766.3
2025-07-22 04:00:00+00:00,SELL,117237.6,117937.6
2025-08-09 04:00:00+00:00,BUY,116400.2,116763.2
2025-08-25 04:00:00+00:00,SELL,112926.9,111450.1
