ts,open,close,d_close,d_ema200,ema21,ema55,macro_green,trend_up,position,btc,usd,equity_btc,equity_usd,executed,exec_reason,blocked_reason
2025-05-10 16:00:00+00:00,103186.9,103205.1,104800.0,87016.56354918577,103205.1,103205.1,True,False,STABLE,0.0,103186.9,0.9998236521257184,103186.9,,,
2025-05-10 20:00:00+00:00,103205.1,104800.0,104800.0,87016.56354918577,103350.09090909091,103262.06071428572,True,False,STABLE,0.0,103186.9,0.9846078244274808,103186.9,,,
2025-05-11 00:00:00+00:00,104799.9,104056.7,104119.0,87186.7370462088,103414.32809917355,103290.44068877552,True,False,STABLE,0.0,103186.9,0.9916410956718789,103186.9,,,
2025-05-11 04:00:00+00:00,104056.7,103402.0,104119.0,87186.7370462088,103413.20736288505,103294.42494989067,True,False,STABLE,0.0,103186.9,0.997919769443531,103186.9,,,
2025-05-11 08:00:00+00:00,103402.0,104675.0,104119.0,87186.7370462088,103527.91578444095,103343.73120168029,True,False,STABLE,0.0,103186.9,0.9857836159541438,103186.9,,,
2025-05-11 12:00:00+00:00,104675.0,104192.0,104119.0,87186.7370462088,103588.28707676449,103374.02651590599,True,True,STABLE,0.0,103186.9,0.990353386056511,103186.9,,,
2025-05-11 16:00:00+00:00,104192.0,104403.1,104119.0,87186.7370462088,103662.36097887681,103410.77914033792,True,True,BTC,0.9891649619932432,0.0,0.9891649619932432,103271.88844347678,BUY,BUY_trend,
2025-05-11 20:00:00+00:00,104403.1,104119.0,104119.0,87186.7370462088,103703.87361716073,103436.0727424687,True,True,BTC,0.9891649619932432,0.0,0.9891649619932432,102990.8666777745,,,
2025-05-12 00:00:00+00:00,104119.0,104089.1,102825.0,87342.3416527142,103738.89419741885,103459.3951445234,True,True,BTC,0.9891649619932432,0.0,0.9891649619932432,102961.2906454109,,,
2025-05-12 04:00:00+00:00,104089.2,104460.0,102825.0,87342.3416527142,103804.44927038076,103495.131032219,True,True,BTC,0.9891649619932432,0.0,0.9891649619932432,103328.17192981418,,,
2025-05-12 08:00:00+00:00,104460.0,103694.1,102825.0,87342.3416527142,103794.41751852796,103502.2370667826,True,True,BTC,0.9891649619932432,0.0,0.9891649619932432,102570.57048542357,,,
2025-05-12 12:00:00+00:00,103694.1,102483.9,102825.0,87342.3416527142,103675.27956229814,103465.86788582608,True,True,BTC,0.9891649619932432,0.0,0.9891649619932432,101373.48304841934,,,
2025-05-12 16:00:00+00:00,102483.9,101799.8,102825.0,87342.3416527142,103504.78142027103,103406.3654613323,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,100696.79529791976,,,
2025-05-12 20:00:00+00:00,101799.9,102825.0,102825.0,87342.3416527142,103442.98310933729,103385.60240914187,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,101710.88721695523,,,
2025-05-13 00:00:00+00:00,102825.1,101731.6,104156.7,87509.6487009459,103287.40282667027,103326.53089452966,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,100629.33424751183,,,
2025-05-13 04:00:00+00:00,101731.7,102643.4,104156.7,87509.6487009459,103228.85711515478,103302.13336258217,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,101531.25485985726,,,
2025-05-13 08:00:00+00:00,102643.4,103699.5,104156.7,87509.6487009459,103271.64283195889,103316.32502820424,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,102575.91197621833,,,
2025-05-13 12:00:00+00:00,103699.5,103689.8,104156.7,87509.6487009459,103309.65711996262,103329.66342005409,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,102566.317076087,,,
2025-05-13 16:00:00+00:00,103689.8,104841.9,104156.7,87509.6487009459,103448.95192723874,103383.67186933786,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,103705.9340287994,,,
2025-05-13 20:00:00+00:00,104842.0,104156.7,104156.7,87509.6487009459,103513.29266112612,103411.2800168615,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,103028.15819684163,,,
2025-05-14 00:00:00+00:00,104156.8,103572.8,103589.7,87669.64921138425,103518.70241920557,103417.04858768788,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,102450.58477553379,,,
2025-05-14 04:00:00+00:00,103572.8,103752.0,103589.7,87669.64921138425,103539.91129018688,103429.01113812761,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,102627.84313672296,,,
2025-05-14 08:00:00+00:00,103752.0,103949.7,103589.7,87669.64921138425,103577.1648092608,103447.60716890877,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,102823.40104970903,,,
2025-05-14 12:00:00+00:00,103949.8,103505.5,103589.7,87669.64921138425,103570.64982660073,103449.67477001918,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,102384.01397359163,,,
2025-05-14 16:00:00+00:00,103505.5,103254.1,103589.7,87669.64921138425,103541.87256963702,103442.68995680421,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,102135.33790214654,,,
2025-05-14 20:00:00+00:00,103254.1,103589.7,103589.7,87669.64921138425,103546.22051785183,103447.94031548977,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,102467.30166339147,,,
2025-05-15 00:00:00+00:00,103589.7,102800.0,103761.7,87829.76911972869,103478.38228895621,103424.79958993656,True,False,BTC,0.9891649619932432,0.0,0.9891649619932432,101686.1580929054,,,
