==                  THR     E1_S_MIN=2.900000  E1_M_MAX=0.120000     V1_S_MIN=1.000000  V1_M_MAX=1.000000  ==
==                  STRESS  START              2025-10-14T23:24:10Z  ==
TAG                 |       PL                 |                     FLIPS              |                  FEE/SLIP  |  S0        |  S_req     |  MDD       |  M_max     |  headS      |  headM      |  RES
PROD_KISSv1_2024    |       V1                 |                     0                  |                  4/3       |  1.613240  |  2.333333  |  0.768424  |  1.000000  |  -0.720093  |  +0.231576  |  MISS[S]
PROD_KISSv1_2024    |       V1                 |                     0                  |                  5/1       |  1.613240  |  2.000000  |  0.768424  |  1.000000  |  -0.386760  |  +0.231576  |  MISS[S]
PROD_KISSv1_2024    |       V1                 |                     0                  |                  5/2       |  1.613240  |  2.333333  |  0.768424  |  1.000000  |  -0.720093  |  +0.231576  |  MISS[S]
PROD_KISSv1_2024    |       V1                 |                     0                  |                  5/3       |  1.613240  |  2.666667  |  0.768424  |  1.000000  |  -1.053427  |  +0.231576  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  2/1       |  1.138462  |  1.000000  |  0.741494  |  1.000000  |  +0.138462  |  +0.258506  |  OK
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  2/2       |  1.138462  |  1.333333  |  0.741494  |  1.000000  |  -0.194871  |  +0.258506  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  2/3       |  1.138462  |  1.666667  |  0.741494  |  1.000000  |  -0.528205  |  +0.258506  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  3/1       |  1.138462  |  1.333333  |  0.741494  |  1.000000  |  -0.194871  |  +0.258506  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  3/2       |  1.138462  |  1.666667  |  0.741494  |  1.000000  |  -0.528205  |  +0.258506  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  3/3       |  1.138462  |  2.000000  |  0.741494  |  1.000000  |  -0.861538  |  +0.258506  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  4/1       |  1.138462  |  1.666667  |  0.741494  |  1.000000  |  -0.528205  |  +0.258506  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  4/2       |  1.138462  |  2.000000  |  0.741494  |  1.000000  |  -0.861538  |  +0.258506  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  4/3       |  1.138462  |  2.333333  |  0.741494  |  1.000000  |  -1.194871  |  +0.258506  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  5/1       |  1.138462  |  2.000000  |  0.741494  |  1.000000  |  -0.861538  |  +0.258506  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  5/2       |  1.138462  |  2.333333  |  0.741494  |  1.000000  |  -1.194871  |  +0.258506  |  MISS[S]
PROD_KISSv1_2025H1  |       V1                 |                     0                  |                  5/3       |  1.138462  |  2.666667  |  0.741494  |  1.000000  |  -1.528205  |  +0.258506  |  MISS[S]
