Datetime,Adj Close,Close,High,Low,Open,Volume
2023-08-09 00:00:00+00:00,29701.658203125,29701.658203125,29865.27734375,29663.55078125,29766.6953125,581236736
2023-08-09 04:00:00+00:00,29805.1875,29805.1875,29807.43359375,29666.88671875,29705.04296875,3455670272
2023-08-09 08:00:00+00:00,29863.53125,29863.53125,29879.931640625,29739.392578125,29808.447265625,400812032
2023-08-09 12:00:00+00:00,29741.78515625,29741.78515625,30093.435546875,29676.39453125,29872.369140625,276412416
2023-08-09 16:00:00+00:00,29402.21484375,29402.21484375,29752.126953125,29394.76953125,29743.568359375,0
2023-08-09 20:00:00+00:00,29573.0078125,29573.0078125,29605.515625,29376.80078125,29394.859375,0
2023-08-10 00:00:00+00:00,29553.69140625,29553.69140625,29636.376953125,29547.89453125,29563.97265625,0
2023-08-10 04:00:00+00:00,29473.8828125,29473.8828125,29578.8984375,29470.1875,29556.181640625,79337472
2023-08-10 08:00:00+00:00,29470.025390625,29470.025390625,29527.5625,29453.748046875,29482.435546875,0
2023-08-10 12:00:00+00:00,29435.03125,29435.03125,29688.564453125,29400.966796875,29473.03515625,241165312
2023-08-10 16:00:00+00:00,29407.0,29407.0,29440.517578125,29354.447265625,29438.708984375,0
2023-08-10 20:00:00+00:00,29426.951171875,29426.951171875,29450.376953125,29392.10546875,29405.078125,0
2023-08-11 00:00:00+00:00,29372.298828125,29372.298828125,29469.134765625,29336.23046875,29424.90234375,24439808
2023-08-11 04:00:00+00:00,29376.556640625,29376.556640625,29429.921875,29345.65234375,29372.376953125,40726528
2023-08-11 08:00:00+00:00,29410.19140625,29410.19140625,29412.4296875,29320.619140625,29375.509765625,62985216
2023-08-11 12:00:00+00:00,29354.150390625,29354.150390625,29517.7734375,29331.28125,29411.6484375,131390464
2023-08-11 16:00:00+00:00,29353.666015625,29353.666015625,29389.72265625,29253.517578125,29358.34375,98924544
2023-08-11 20:00:00+00:00,29400.11328125,29400.11328125,29410.18359375,29360.66796875,29361.3671875,30998528
2023-08-12 00:00:00+00:00,29374.771484375,29374.771484375,29434.900390625,29357.587890625,29399.787109375,0
2023-08-12 04:00:00+00:00,29396.6328125,29396.6328125,29398.8125,29362.853515625,29373.99609375,0
2023-08-12 08:00:00+00:00,29406.779296875,29406.779296875,29413.396484375,29371.17578125,29395.056640625,0
2023-08-12 12:00:00+00:00,29423.8203125,29423.8203125,29438.087890625,29394.421875,29406.8359375,0
2023-08-12 16:00:00+00:00,29404.3828125,29404.3828125,29465.11328125,29399.60546875,29425.85546875,0
2023-08-12 20:00:00+00:00,29415.962890625,29415.962890625,29417.544921875,29391.58203125,29405.107421875,0
2023-08-13 00:00:00+00:00,29399.119140625,29399.119140625,29441.43359375,29393.21484375,29416.59375,12128768
2023-08-13 04:00:00+00:00,29383.09765625,29383.09765625,29399.142578125,29363.916015625,29399.142578125,103737856
2023-08-13 08:00:00+00:00,29368.326171875,29368.326171875,29394.275390625,29364.224609375,29382.048828125,37096448
2023-08-13 12:00:00+00:00,29357.03515625,29357.03515625,29374.697265625,29345.2265625,29368.78125,170459648
2023-08-13 16:00:00+00:00,29421.115234375,29421.115234375,29440.998046875,29318.705078125,29355.375,441018880
2023-08-13 20:00:00+00:00,29282.513671875,29282.513671875,29431.779296875,29265.806640625,29429.224609375,676040704
2023-08-14 00:00:00+00:00,29349.56640625,29349.56640625,29382.765625,29124.10546875,29283.263671875,2204647936
2023-08-14 04:00:00+00:00,29385.5078125,29385.5078125,29420.212890625,29361.8984375,29362.1640625,530962432
2023-08-14 08:00:00+00:00,29370.228515625,29370.228515625,29436.09765625,29352.80859375,29383.263671875,698103808
2023-08-14 12:00:00+00:00,29567.455078125,29567.455078125,29618.40234375,29301.9765625,29371.37109375,1996958720
2023-08-14 16:00:00+00:00,29316.080078125,29316.080078125,29660.25390625,29272.3515625,29566.087890625,1496383488
2023-08-14 20:00:00+00:00,29413.671875,29413.671875,29440.580078125,29302.181640625,29317.443359375,40014848
2023-08-15 00:00:00+00:00,29356.494140625,29356.494140625,29426.26953125,29340.484375,29408.048828125,0
2023-08-15 04:00:00+00:00,29370.318359375,29370.318359375,29389.666015625,29317.3671875,29358.841796875,186835968
2023-08-15 08:00:00+00:00,29328.03125,29328.03125,29412.20703125,29320.703125,29369.9375,171155456
2023-08-15 12:00:00+00:00,29286.837890625,29286.837890625,29439.12109375,29286.837890625,29327.97265625,63763456
2023-08-15 16:00:00+00:00,29163.693359375,29163.693359375,29322.2265625,29088.853515625,29289.888671875,1201341440
2023-08-15 20:00:00+00:00,29169.568359375,29169.568359375,29212.6015625,29122.666015625,29162.580078125,525960192
2023-08-16 00:00:00+00:00,29192.072265625,29192.072265625,29221.9765625,29158.927734375,29169.07421875,342752256
2023-08-16 04:00:00+00:00,29167.849609375,29167.849609375,29195.53125,29091.048828125,29190.361328125,534860800
2023-08-16 08:00:00+00:00,29128.41015625,29128.41015625,29180.16015625,29080.66015625,29165.796875,269026304
2023-08-16 12:00:00+00:00,29081.22265625,29081.22265625,29163.119140625,29035.029296875,29126.75,550651904
2023-08-16 16:00:00+00:00,29104.28125,29104.28125,29192.26171875,28933.7421875,29078.017578125,983492608
2023-08-16 20:00:00+00:00,28704.3828125,28704.3828125,29103.5546875,28704.3828125,29089.357421875,1463031808
2023-08-17 00:00:00+00:00,28627.814453125,28627.814453125,28745.947265625,28376.49609375,28699.802734375,1731182592
2023-08-17 04:00:00+00:00,28584.087890625,28584.087890625,28665.060546875,28565.705078125,28626.193359375,79558656
2023-08-17 08:00:00+00:00,28506.017578125,28506.017578125,28595.330078125,28462.349609375,28582.779296875,401961984
2023-08-17 12:00:00+00:00,27905.978515625,27905.978515625,28525.109375,27905.978515625,28506.130859375,3083995136
2023-08-17 16:00:00+00:00,27873.384765625,27873.384765625,28046.369140625,27750.017578125,27899.962890625,1845035008
2023-08-17 20:00:00+00:00,26635.4765625,26635.4765625,27881.55078125,25409.111328125,27860.193359375,9607634944
