threshold,adx4_min,adx1d_min,sl_atr_mul,tp1_atr_mul,tp2_atr_mul,trail_mul,partial_pct,net90,mdd90,score90,trades90,net180,mdd180,score180,trades180,status
0.5,6.0,0.0,1.1,1.6,6.0,1.0,0.4,218.6934337762143,112.55332050060679,1.9259096326914165,67,1096.3538780690355,122.22027038195665,8.897512354668363,202,OK
0.5,6.0,0.0,1.1,1.6,6.0,1.0,0.45,218.0884931236005,112.5447619478,1.9207270276709238,67,1110.1642630516335,122.37032327793713,8.998633006339615,202,OK
0.5,6.0,0.0,1.1,1.6,6.0,1.0,0.5,217.48265517735265,112.53619837159385,1.9155358229060244,67,1123.9843657953083,122.52048312872466,9.099578768842477,202,OK
0.5,6.0,0.0,1.1,1.6,6.0,1.1,0.4,114.3585166585926,152.89839888807,0.7430780143578057,63,942.1666320559314,165.41234480192725,5.661639063960957,194,DEGRADE_90
0.5,6.0,0.0,1.1,1.6,6.0,1.1,0.45,115.24638253225561,152.90402012834784,0.7488198322314531,63,948.4044987282284,165.49819930612466,5.696184719598594,194,DEGRADE_90
0.5,6.0,0.0,1.1,1.6,6.0,1.1,0.5,116.13342994355177,152.90963399358043,0.7545559490343255,63,954.6329240596222,165.58390837290972,5.730643093825183,194,DEGRADE_90
0.5,6.0,0.0,1.1,1.6,6.0,1.2,0.4,171.39981437172128,154.5283212531922,1.1020488936718549,59,941.4446153952952,166.22717613683926,5.629734575108333,187,DEGRADE_90
0.5,6.0,0.0,1.1,1.6,6.0,1.2,0.45,177.04589428885214,154.59922855958212,1.1378327253149436,59,954.2874733858179,166.40628433794336,5.70042801654564,187,DEGRADE_90
0.5,6.0,0.0,1.1,1.6,6.0,1.2,0.5,182.693641921221,154.67015268528667,1.1735945444247546,59,967.1307218721743,166.5853695419064,5.770973471704721,187,DEGRADE_90
0.5,6.0,0.0,1.1,1.7,6.0,1.0,0.4,231.61112104483942,112.65492186957272,2.037845059720599,67,1088.805728463196,122.09304362608236,8.845387979605432,199,OK
0.5,6.0,0.0,1.1,1.7,6.0,1.0,0.45,232.6211354244955,112.65906167914363,2.0466571867466095,67,1101.667416871319,122.22708313990552,8.940140339283564,199,OK
0.5,6.0,0.0,1.1,1.7,6.0,1.0,0.5,233.63030573718675,112.6631960597133,2.0554613440083838,67,1114.5376785677654,122.36120518166354,9.034750243615736,199,OK
0.5,6.0,0.0,1.1,1.7,6.0,1.1,0.4,127.14750998020214,153.03645696261992,0.8254377728972114,63,951.2947585779305,165.49056359201495,5.713805864151423,192,DEGRADE_90
