threshold,adx4_min,adx1d_min,sl_atr_mul,tp1_atr_mul,tp2_atr_mul,trail_mul,partial_pct,risk_perc,net90,pf90,wr90,trades90,mdd90,score90,net180,pf180,wr180,trades180,mdd180,score180,status
0.53,8.0,5.0,1.3,1.7,6.0,1.1,0.5,0.005,202.46486154481832,2.379099151108506,42.42424242424242,33,81.62579900217861,2.4503831005553107,681.7137810374911,1.9511142423592855,36.17021276595745,141,139.3905509598353,4.855838063008417,DEGRADE_180
0.53,8.0,5.0,1.3,1.7,6.0,1.15,0.5,0.005,249.21353901170704,4.104363313230744,48.148148148148145,27,64.11418695821521,3.82733088829983,722.7911510492122,2.0522636979056172,38.059701492537314,134,149.4983752324224,4.802650858741622,DEGRADE_180
0.54,8.0,5.0,1.3,1.7,6.0,1.1,0.5,0.005,76.95207643639637,1.5362889258525259,36.0,25,81.62579900217861,0.9313323122523434,435.8322087477802,1.60439003725905,35.0,120,141.36427001273296,3.0613875848820755,DEGRADE_180
0.54,8.0,5.0,1.3,1.7,6.0,1.15,0.5,0.005,137.82138366159586,2.7565919715713996,42.857142857142854,21,64.11418695821521,2.1166106819399895,522.8230746525836,1.782768679820455,38.05309734513274,113,129.40183646838523,4.009322942160692,DEGRADE_180
0.55,8.0,5.0,1.3,1.7,6.0,1.1,0.5,0.005,108.92851090181105,1.9728672190774705,39.130434782608695,23,71.17614473061622,1.5092037862144907,297.84905312034994,1.4460090828882073,33.33333333333333,108,173.51727063623184,1.7067024486143492,DEGRADE_180
0.55,8.0,5.0,1.3,1.7,6.0,1.15,0.5,0.005,137.82138366159586,2.7565919715713996,42.857142857142854,21,64.11418695821521,2.1166106819399895,356.7983175159031,1.5506273419797534,35.92233009708738,103,172.40319510317022,2.057622509802185,DEGRADE_180
