threshold,adx4_min,adx1d_min,sl_atr_mul,tp1_atr_mul,tp2_atr_mul,trail_mul,partial_pct,risk_perc,net90,pf90,wr90,mdd90,score90,trades90,net180,pf180,wr180,mdd180,score180,trades180,status
0.51,6.0,0.0,1.2,1.6,5.0,1.0,0.4,0.004,142.63634173890176,2.202536659182211,37.5,84.22777055962979,1.6735899672408532,32,283.6248871756641,1.3342823460819795,34.285714285714285,211.68259425969882,1.3335594676325055,175,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,5.0,1.0,0.4,0.005,178.36501872165837,2.202546099200305,37.5,105.32026765987575,1.6776201061895146,32,354.5703667629375,1.3329979591531034,34.285714285714285,265.55651856373333,1.3301883168096682,175,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,5.0,1.0,0.5,0.004,141.26092543632677,2.190901304645585,37.5,84.2314693985063,1.6573799141705563,32,291.8444601276035,1.343684173905314,34.285714285714285,211.82458979069452,1.3712910731538224,175,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,5.0,1.0,0.5,0.005,176.64334881020068,2.1908891850152843,37.5,105.32604192278995,1.6613366360281947,32,364.91931315006605,1.3423614227579954,34.285714285714285,265.7791003984312,1.3678706937877207,175,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,5.0,1.1,0.4,0.004,115.3182764534629,1.911637359332369,36.666666666666664,100.35668043482292,1.1377471712643346,30,223.71375871604187,1.2428477019269906,31.547619047619047,222.84169296050823,0.9994284610575701,168,"DEGRADE_90,DEGRADE_180"
0.51,6.0,0.0,1.2,1.6,5.0,1.1,0.4,0.005,144.1148460384426,1.911323112780746,36.666666666666664,125.48930172190921,1.1393441506640911,30,279.01448066175266,1.2415240960102167,31.547619047619047,279.2616852526826,0.9955498569495668,168,"DEGRADE_90,DEGRADE_180"
0.51,6.0,0.0,1.2,1.6,5.0,1.1,0.5,0.004,115.28765277067578,1.9113395351057183,36.666666666666664,99.59053105679959,1.1461084016504226,30,225.70195940582119,1.2449058294783433,31.547619047619047,222.9574971542388,1.0077892558800163,168,"DEGRADE_90,DEGRADE_180"
0.51,6.0,0.0,1.2,1.6,5.0,1.1,0.5,0.005,144.07781494354975,1.9110193912381714,36.666666666666664,124.53424188399367,1.1477172505386397,30,281.5385470869802,1.243584373319383,31.547619047619047,279.44302819725453,1.0039063866082458,168,"DEGRADE_90,DEGRADE_180"
0.51,6.0,0.0,1.2,1.6,5.0,1.2,0.4,0.004,155.08205233825277,2.4769797056803546,40.74074074074074,85.7041707231183,1.7886342841971568,27,148.22127592223677,1.1504053227472053,29.29936305732484,273.525568421599,0.5399179274063387,157,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,5.0,1.2,0.4,0.005,193.977579786306,2.476704438407559,40.74074074074074,107.25787700609908,1.7918103065643676,27,184.1260890125829,1.149091765309456,29.29936305732484,343.2357173727014,0.534883743087098,157,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,5.0,1.2,0.5,0.004,157.58477111132416,2.5003453990209095,40.74074074074074,82.22464863345158,1.8934867698316005,27,150.73248376459009,1.1528809769723323,29.29936305732484,269.02264193184965,0.5582216464744949,157,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,5.0,1.2,0.5,0.005,197.11715928048045,2.500018687275067,40.74074074074074,102.84240854306336,1.8982336989875974,27,187.30449785557363,1.15157535934989,29.29936305732484,337.5349764070379,0.5532796044990278,157,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,6.0,1.0,0.4,0.004,142.63634173890176,2.202536659182211,37.5,84.22777055962979,1.6735899672408532,32,283.6248871756641,1.3342823460819795,34.285714285714285,211.68259425969882,1.3335594676325055,175,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,6.0,1.0,0.4,0.005,178.36501872165837,2.202546099200305,37.5,105.32026765987575,1.6776201061895146,32,354.5703667629375,1.3329979591531034,34.285714285714285,265.55651856373333,1.3301883168096682,175,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,6.0,1.0,0.5,0.004,141.26092543632677,2.190901304645585,37.5,84.2314693985063,1.6573799141705563,32,291.8444601276035,1.343684173905314,34.285714285714285,211.82458979069452,1.3712910731538224,175,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,6.0,1.0,0.5,0.005,176.64334881020068,2.1908891850152843,37.5,105.32604192278995,1.6613366360281947,32,364.91931315006605,1.3423614227579954,34.285714285714285,265.7791003984312,1.3678706937877207,175,DEGRADE_180
0.51,6.0,0.0,1.2,1.6,6.0,1.1,0.4,0.004,115.3182764534629,1.911637359332369,36.666666666666664,100.35668043482292,1.1377471712643346,30,223.71375871604187,1.2428477019269906,31.547619047619047,222.84169296050823,0.9994284610575701,168,"DEGRADE_90,DEGRADE_180"
