timestamp,strategy,mode,summary_path,walk_path
2025-08-14T22:05:26-04:00,V2,freeze,reports/summary_v2_20250815_014347.json,reports/walkforward_v2_20250815_014347.csv
2025-08-14T22:05:26-04:00,V2,live,reports/summary_v2_20250815_014351.json,reports/walkforward_v2_20250815_014351.csv
2025-08-14T22:05:26-04:00,PerlaNegra,freeze,reports/summary_perla_negra_20250815_014355.json,reports/walkforward_perla_negra_20250815_014355.csv
2025-08-14T22:05:26-04:00,PerlaNegra,live,reports/summary_perla_negra_20250815_014359.json,reports/walkforward_perla_negra_20250815_014359.csv
2025-08-15T02:22:18Z,SentimentEXP,freeze,reports/summary_rf_sentiment_EXP_20250815_014347.json,reports/walkforward_rf_sentiment_EXP_20250815_014347.csv
2025-08-15T02:22:18Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250815_014351.json,reports/walkforward_rf_sentiment_EXP_20250815_014351.csv
2025-08-15T11:45:27Z,SentimentEXP,freeze,reports/summary_rf_sentiment_EXP_20250815_014359.json,reports/walkforward_rf_sentiment_EXP_20250815_014359.csv
2025-08-15T11:45:27Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250815_031515.json,reports/walkforward_rf_sentiment_EXP_20250815_031515.csv
2025-08-15T12:49:36Z,SentimentEXP,freeze,reports/summary_rf_sentiment_EXP_20250815_014355.json,reports/walkforward_rf_sentiment_EXP_20250815_014355.csv
2025-08-15T12:49:36Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250815_014359.json,reports/walkforward_rf_sentiment_EXP_20250815_014359.csv
2025-08-15T15:03:35Z,V2,freeze,reports/summary_v2_20250815_014351.json,reports/walkforward_v2_20250815_014351.csv
2025-08-15T15:03:35Z,V2,live,reports/summary_v2_20250815_031515.json,reports/walkforward_v2_20250815_031515.csv
2025-08-15T17:30:59Z,V2,freeze,reports/summary_v2_20250815_173036.json,reports/walkforward_v2_20250815_173036.csv
2025-08-15T17:30:59Z,V2,live,reports/summary_v2_20250815_173041.json,reports/walkforward_v2_20250815_173041.csv
2025-08-15T17:30:59Z,PerlaNegra,freeze,reports/summary_perla_negra_20250815_173045.json,reports/walkforward_perla_negra_20250815_173045.csv
2025-08-15T17:30:59Z,PerlaNegra,live,reports/summary_perla_negra_20250815_173049.json,reports/walkforward_perla_negra_20250815_173049.csv
2025-08-15T17:30:59Z,SentimentEXP,freeze,reports/summary_rf_sentiment_EXP_20250815_173054.json,reports/walkforward_rf_sentiment_EXP_20250815_173054.csv
2025-08-15T17:30:59Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250815_173059.json,reports/walkforward_rf_sentiment_EXP_20250815_173059.csv
2025-08-15T17:32:49Z,V2,freeze,reports/summary_v2_20250815_173228.json,reports/walkforward_v2_20250815_173228.csv
2025-08-15T17:32:49Z,V2,live,reports/summary_v2_20250815_173232.json,reports/walkforward_v2_20250815_173232.csv
2025-08-15T17:32:49Z,PerlaNegra,freeze,reports/summary_perla_negra_20250815_173236.json,reports/walkforward_perla_negra_20250815_173236.csv
2025-08-15T17:32:49Z,PerlaNegra,live,reports/summary_perla_negra_20250815_173241.json,reports/walkforward_perla_negra_20250815_173241.csv
2025-08-15T17:32:50Z,SentimentEXP,freeze,reports/summary_rf_sentiment_EXP_20250815_173245.json,reports/walkforward_rf_sentiment_EXP_20250815_173245.csv
2025-08-15T17:32:50Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250815_173249.json,reports/walkforward_rf_sentiment_EXP_20250815_173249.csv
2025-08-15T17:35:02Z,V2,freeze,reports/summary_v2_20250815_173440.json,reports/walkforward_v2_20250815_173440.csv
2025-08-15T17:35:02Z,V2,live,reports/summary_v2_20250815_173444.json,reports/walkforward_v2_20250815_173444.csv
2025-08-15T17:35:02Z,PerlaNegra,freeze,reports/summary_perla_negra_20250815_173449.json,reports/walkforward_perla_negra_20250815_173449.csv
2025-08-15T17:35:02Z,PerlaNegra,live,reports/summary_perla_negra_20250815_173454.json,reports/walkforward_perla_negra_20250815_173454.csv
2025-08-16T02:12:45Z,SentimentEXP,freeze,reports/summary_rf_sentiment_EXP_20250816_021241.json,reports/walkforward_rf_sentiment_EXP_20250816_021241.csv
2025-08-16T02:12:45Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250816_021245.json,reports/walkforward_rf_sentiment_EXP_20250816_021245.csv
2025-08-16T02:15:41Z,SentimentEXP,freeze,reports/summary_rf_sentiment_EXP_20250816_021537.json,reports/walkforward_rf_sentiment_EXP_20250816_021537.csv
2025-08-16T02:15:41Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250816_021541.json,reports/walkforward_rf_sentiment_EXP_20250816_021541.csv
2025-08-16T02:32:35Z,SentimentEXP,freeze,reports/summary_rf_sentiment_EXP_20250816_023231.json,reports/walkforward_rf_sentiment_EXP_20250816_023231.csv
2025-08-16T02:32:35Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250816_023235.json,reports/walkforward_rf_sentiment_EXP_20250816_023235.csv
2025-08-16T04:11:51Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250816_040336.json,reports/walkforward_rf_sentiment_EXP_20250816_040336.csv
2025-08-16T04:12:16Z,SentimentEXP,freeze,reports/summary_rf_sentiment_EXP_20250816_041212.json,reports/walkforward_rf_sentiment_EXP_20250816_041212.csv
2025-08-16T04:12:16Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250816_041216.json,reports/walkforward_rf_sentiment_EXP_20250816_041216.csv
2025-08-16T04:50:08Z,SentimentEXP,live,reports/summary_rf_sentiment_EXP_20250816_044932.json,reports/walkforward_rf_sentiment_EXP_20250816_044932.csv
